date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:54	2720/2720	---M-Z	200	added ('OK')	application/javascript	etag:%22aa0-5d3a571d3a042-gzip%22	https://www.um.edu.mt/media/umt4/js/um-addon.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/um-addon.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:55	11778/11778	---M-Z	200	added ('OK')	application/javascript	etag:%222e02-5d3a571d4a9e2-gzip%22	https://www.um.edu.mt/media/umt4/js/matchHeight.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/matchHeight.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:55	3887/3887	---M-Z	200	added ('OK')	application/javascript	etag:%22f2f-5d3a571d584a2-gzip%22	https://www.um.edu.mt/media/umt4/js/js.cookie.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/js.cookie.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:55	54901/54901	---M-Z	200	added ('OK')	application/javascript	etag:%22d675-5d3a571d620e2-gzip%22	https://www.um.edu.mt/media/umt4/js/jquery.themepunch.revolution.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/jquery.themepunch.revolution.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:55	104757/104757	---M-Z	200	added ('OK')	application/javascript	etag:%2219935-5d3a571d78842-gzip%22	https://www.um.edu.mt/media/umt4/js/jquery.themepunch.tools.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/jquery.themepunch.tools.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:56	32000/32000	---M-Z	200	added ('OK')	application/javascript	etag:%227d00-5d3a571df5842-gzip%22	https://www.um.edu.mt/media/umt4/js/revolution.extension.layeranimation.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/revolution.extension.layeranimation.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:56	25784/25784	---M-Z	200	added ('OK')	application/javascript	etag:%2264b8-5d3a571eee8a3-gzip%22	https://www.um.edu.mt/media/umt4/js/revolution.extension.navigation.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/revolution.extension.navigation.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:56	8934/8934	---M-Z	200	added ('OK')	application/javascript	etag:%2222e6-5d3a571f50323-gzip%22	https://www.um.edu.mt/media/umt4/js/revolution.extension.parallax.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/revolution.extension.parallax.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:56	28126/28126	---M-Z	200	added ('OK')	application/javascript	etag:%226dde-5d3a57200f9a4-gzip%22	https://www.um.edu.mt/media/umt4/js/revolution.extension.slideanims.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/revolution.extension.slideanims.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
00:02:56	23391/23391	---M-Z	200	added ('OK')	application/javascript	etag:%225b5f-5d3a57205dba4-gzip%22	https://www.um.edu.mt/media/umt4/js/revolution.extension.video.min.js	C:/Users/Owner/Downloads/yesy/JC/www.um.edu.mt/media/umt4/js/revolution.extension.video.min.js	(from https://www.um.edu.mt/virtcard/?yeEWG1jv4S)
